S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1.0,DR.KALANIDHI VEERASWAMY,Dravida Munnetra Kazhagam,495733,1600,497333,55.11
2.0,R. MANOHAR,All India Anna Dravida Munnetra Kazhagam,157631,480,158111,17.52
3.0,R.C. PAUL KANAGARAJ,Bharatiya Janata Party,112628,690,113318,12.56
4.0,AMUDINI,Naam Tamilar Katchi,95715,239,95954,10.63
5.0,SARAH FATHIMA,Independent,5899,24,5923,0.66
6.0,E. IQBAL,Bahujan Samaj Party,3471,15,3486,0.39
7.0,MOORTHY. V,Independent,3131,6,3137,0.35
8.0,SURIYAMUTHU,Independent,976,2,978,0.11
9.0,C. SENAPATHI,Independent,850,-,850,0.09
10.0,DILLI GANESH. E,Independent,735,1,736,0.08
11.0,U. VENKATESH,Independent,709,5,714,0.08
12.0,M. ZION RAJ,Independent,696,1,697,0.08
13.0,A. AJITHKUMAR,Thakkam Katchi,671,2,673,0.07
14.0,J. SEBASTIN,Socialist Unity Centre Of India (COMMUNIST),586,2,588,0.07
15.0,AKSHAY,Naadaalum Makkal Katchi,563,3,566,0.06
16.0,B. BALAMURUGAN,Independent,485,3,488,0.05
17.0,K.PALANIAPPAN,Independent,460,2,462,0.05
18.0,R. SENTHIL KUMAR,Independent,457,-,457,0.05
19.0,MATHANKUMAR. G,Independent,390,-,390,0.04
20.0,P. JAYASELAN,Independent,386,-,386,0.04
21.0,M. KOLANJI,Independent,361,1,362,0.04
22.0,B. ZAKIR HUSSAIN,Independent,354,1,355,0.04
23.0,P. UMADEVI,Independent,346,-,346,0.04
24.0,K.C.JAYAPRAKASH,Independent,334,-,334,0.04
25.0,C. SRIDHAR,Independent,307,-,307,0.03
26.0,T. MANOHARAN,Independent,293,-,293,0.03
27.0,K. SAMPATH,Independent,268,1,269,0.03
28.0,D. SRINIVASAN,Independent,260,1,261,0.03
29.0,S. RAVIKUMAR,Republican Party of India (Sivaraj),258,1,259,0.03
30.0,T. KAVIYARASU,Independent,250,2,252,0.03
31.0,SATHISH. B,Independent,245,1,246,0.03
32.0,R.VINAYAGAMOORTHY,Independent,206,-,206,0.02
33.0,D. KABILAN,Independent,203,6,209,0.02
34.0,P. MARIMUTHU,Independent,171,1,172,0.02
35.0,V.MADHAN MOHAN,Independent,163,-,163,0.02
36.0,NOTA,None of the Above,13139,69,13208,1.46
,Total,,899330,3159,902489,
